iter	Passed	Remaining
0	1	126
1	1	83
2	2	67
3	2	57
4	2	53
5	3	53
6	3	49
7	4	46
8	4	43
9	4	41
10	4	39
11	5	38
12	5	36
13	5	35
14	6	34
15	6	33
16	6	32
17	6	31
18	7	30
19	7	29
20	7	29
21	8	29
22	8	28
23	8	27
24	9	27
25	9	26
26	9	26
27	9	25
28	10	25
29	10	24
30	11	24
31	11	24
32	11	24
33	12	23
34	12	23
35	12	22
36	13	22
37	13	22
38	13	21
39	14	21
40	14	21
41	14	20
42	15	20
43	15	19
44	15	19
45	16	19
46	16	18
47	16	18
48	17	17
49	17	17
50	17	17
51	18	16
52	18	16
53	18	15
54	18	15
55	19	14
56	19	14
57	19	14
58	19	13
59	20	13
60	20	13
61	20	12
62	20	12
63	21	11
64	21	11
65	21	11
66	22	11
67	22	10
68	22	10
69	23	9
70	23	9
71	23	9
72	24	8
73	24	8
74	24	8
75	25	7
76	25	7
77	25	7
78	26	6
79	26	6
80	26	6
81	27	5
82	27	5
83	28	5
84	28	5
85	28	4
86	29	4
87	29	4
88	30	3
89	30	3
90	30	3
91	31	2
92	31	2
93	31	2
94	32	1
95	32	1
96	33	1
97	33	0
98	33	0
99	33	0
