iter	Passed	Remaining
0	47	47906
1	48	24197
2	48	16264
3	49	12286
4	49	9895
5	50	8309
6	50	7179
7	50	6323
8	51	5661
9	51	5128
10	52	4690
11	52	4328
12	52	4021
13	53	3756
14	53	3526
15	54	3325
16	54	3148
17	54	2992
18	55	2851
19	55	2723
20	55	2606
21	56	2501
22	56	2404
23	56	2317
24	57	2237
25	57	2163
26	58	2094
27	58	2028
28	58	1969
29	59	1911
30	59	1856
31	59	1804
32	59	1756
33	60	1710
34	60	1666
35	60	1625
36	60	1586
37	61	1549
38	61	1514
39	61	1481
40	61	1449
41	62	1419
42	62	1390
43	62	1363
44	62	1336
45	63	1312
46	63	1288
47	63	1265
48	64	1243
49	64	1222
50	64	1202
51	65	1185
52	65	1166
53	65	1149
54	65	1132
55	66	1116
56	66	1100
57	66	1086
58	67	1072
59	67	1059
60	68	1046
61	68	1035
62	68	1024
63	69	1013
64	69	1003
65	70	993
66	70	983
67	70	972
68	71	961
69	71	951
70	71	941
71	72	932
72	72	923
73	73	915
74	73	906
75	73	898
76	74	889
77	74	880
78	74	871
79	75	862
80	75	853
81	75	845
82	75	835
83	75	827
84	76	820
85	76	812
86	76	804
87	76	797
88	77	790
89	77	783
90	77	776
91	77	769
92	78	763
93	78	756
94	78	750
95	79	744
96	79	738
97	79	732
98	79	726
99	80	720
100	80	714
101	80	709
102	80	704
103	81	698
104	81	695
105	82	691
106	82	687
107	82	684
108	83	680
109	83	676
110	84	673
111	84	669
112	84	666
113	85	662
114	85	659
115	86	655
116	86	651
117	86	648
118	87	644
119	87	641
120	87	638
121	88	634
122	88	631
123	88	627
124	89	623
125	89	619
126	89	615
127	89	611
128	90	608
129	90	604
130	90	601
131	90	597
132	91	594
133	91	590
134	91	587
135	91	583
136	92	580
137	92	577
138	92	574
139	92	570
140	93	567
141	93	564
142	93	561
143	93	558
144	94	555
145	94	552
146	94	549
147	95	546
148	95	544
149	95	541
150	95	538
151	96	536
152	96	533
153	96	531
154	97	529
155	97	528
156	98	526
157	98	524
158	98	523
159	99	521
160	99	518
161	100	517
162	100	515
163	100	514
164	101	512
165	101	511
166	102	510
167	102	508
168	103	507
169	103	506
170	103	504
171	104	502
172	104	500
173	104	498
174	105	495
175	105	493
176	105	491
177	106	489
178	106	487
179	106	485
180	106	483
181	107	481
182	107	479
183	107	477
184	107	475
185	108	473
186	108	471
187	108	470
188	109	468
189	109	466
190	109	464
191	109	462
192	110	461
193	110	459
194	110	458
195	111	456
196	111	455
197	112	454
198	112	453
199	113	452
200	113	451
201	113	450
202	114	449
203	114	447
204	115	446
205	115	445
206	116	444
207	116	443
208	116	442
209	117	441
210	117	440
211	118	439
212	118	438
213	118	436
214	119	434
215	119	433
216	119	431
217	119	429
218	120	428
219	120	426
220	120	425
221	120	423
222	121	422
223	121	420
224	121	419
225	122	418
226	122	416
227	122	415
228	122	414
229	123	412
230	123	411
231	123	409
232	124	408
233	124	407
234	124	405
235	124	404
236	125	403
237	125	401
238	125	400
239	126	399
240	126	398
241	126	397
242	127	396
243	127	395
244	128	395
245	128	394
246	129	393
247	129	392
248	129	391
249	130	391
250	130	390
251	131	389
252	131	388
253	131	387
254	132	386
255	132	385
256	132	384
257	133	383
258	133	382
259	134	381
260	134	380
261	134	379
262	134	378
263	135	377
264	135	375
265	135	374
266	136	373
267	136	372
268	136	370
269	136	369
270	137	368
271	137	367
272	137	366
273	137	365
274	138	363
275	138	362
276	138	361
277	138	360
278	139	359
279	139	358
280	139	357
281	140	356
282	140	355
283	140	354
284	140	353
285	141	352
286	141	351
287	141	351
288	142	350
289	142	349
290	143	348
291	143	347
292	143	347
293	144	346
294	144	345
295	145	344
296	145	344
297	145	343
298	146	342
299	146	342
300	147	341
301	147	340
302	147	339
303	148	339
304	148	338
305	148	337
306	149	336
307	149	336
308	149	335
309	150	334
310	150	333
311	150	332
312	151	331
313	151	330
314	151	329
315	151	328
316	152	327
317	152	326
318	152	325
319	152	324
320	153	323
321	153	323
322	153	322
323	153	321
324	154	320
325	154	319
326	154	318
327	155	317
328	155	317
329	155	316
330	156	315
331	156	315
332	157	314
333	157	314
334	157	313
335	158	312
336	158	312
337	159	311
338	159	310
339	159	310
340	160	309
341	160	309
342	161	308
343	161	307
344	161	307
345	162	306
346	162	306
347	163	305
348	163	304
349	164	305
350	164	304
351	164	303
352	165	302
353	165	301
354	165	300
355	165	300
356	166	299
357	166	298
358	166	297
359	167	296
360	167	296
361	167	295
362	167	294
363	168	293
364	168	292
365	168	292
366	168	291
367	169	290
368	169	289
369	169	288
370	170	288
371	170	287
372	170	286
373	171	286
374	171	285
375	171	285
376	172	284
377	172	283
378	172	283
379	173	282
380	173	282
381	174	281
382	174	280
383	174	280
384	175	279
385	175	279
386	175	278
387	176	277
388	176	277
389	176	276
390	177	276
391	177	275
392	178	274
393	178	274
394	178	273
395	179	273
396	179	272
397	179	271
398	179	271
399	180	270
400	180	269
401	180	268
402	181	268
403	181	267
404	181	266
405	181	266
406	182	265
407	182	264
408	182	264
409	183	263
410	183	262
411	183	262
412	183	261
413	184	260
414	184	260
415	184	259
416	185	258
417	185	258
418	185	257
419	185	256
420	186	256
421	186	255
422	187	255
423	187	254
424	187	254
425	188	253
426	188	253
427	189	252
428	189	252
429	190	252
430	190	251
431	190	251
432	191	250
433	191	250
434	192	249
435	192	249
436	192	248
437	193	247
438	193	247
439	193	246
440	194	246
441	194	245
442	194	244
443	195	244
444	195	243
445	195	242
446	195	242
447	196	241
448	196	240
449	196	240
450	196	239
451	197	239
452	197	238
453	197	237
454	197	237
455	198	236
456	198	235
457	198	235
458	199	234
459	199	233
460	199	233
461	199	232
462	200	232
463	200	231
464	200	231
465	201	230
466	201	230
467	201	229
468	202	229
469	202	228
470	203	228
471	203	227
472	203	227
473	204	226
474	204	226
475	204	225
476	205	225
477	205	224
478	205	224
479	206	223
480	206	223
481	207	222
482	207	222
483	207	221
484	208	221
485	208	220
486	208	220
487	209	219
488	209	218
489	209	218
490	209	217
491	210	217
492	210	216
493	210	215
494	211	215
495	211	214
496	211	214
497	211	213
498	212	213
499	212	212
500	212	211
501	213	211
502	213	210
503	213	210
504	213	209
505	214	209
506	214	208
507	214	207
508	214	207
509	215	206
510	215	206
511	215	205
512	216	205
513	216	204
514	217	204
515	217	203
516	217	203
517	218	203
518	218	202
519	219	202
520	219	201
521	219	201
522	220	201
523	220	200
524	221	200
525	221	199
526	222	199
527	222	198
528	223	198
529	223	198
530	223	197
531	224	197
532	224	196
533	224	196
534	225	195
535	225	195
536	225	194
537	225	193
538	226	193
539	226	192
540	226	192
541	226	191
542	227	191
543	227	190
544	227	190
545	228	189
546	228	189
547	228	188
548	228	188
549	229	187
550	229	186
551	229	186
552	229	185
553	230	185
554	230	184
555	230	184
